ticket_id,application,issue_type,priority,environment,component,summary,created_date,resolved_date,status,technology,version,region,issue_description,root_cause,solution,tags,service,dependency,estimated_resolution_time,business_impact,key_metric,root_cause_category
JIRA-1011,Checkout Service,Bug,P2,Production,Payments,Checkout tax calculation differs from cart total for Canadian addresses,2026-08-11,2026-08-11,Resolved,Java/Spring Boot,6.1,CA,Checkout and cart services used different tax-rule versions.,Centralize tax rules behind a versioned tax service and include tax-rule version in requests.,tax;checkout;versioning,checkout,tax-service,4 hr,Medium,Cart vs checkout total variance,rule version mismatch
JIRA-1012,Authentication API,Bug,P2,Production,Identity,Password reset email sometimes contains an expired link,2026-08-12,2026-08-12,Closed,Python/FastAPI,3.11,Global,Reset tokens were generated correctly but old queued emails could be delivered after a newer reset.,Invalidate previous tokens when a new reset is requested and include token generation timestamp in audit logs.,password-reset;tokens;email,auth,smtp,2 hr,Medium,Reset success rate,stale token
JIRA-1013,Order Service,Bug,P2,Production,Orders,Order history page takes over 8 seconds for customers with large order counts,2026-08-13,2026-08-13,Resolved,Java/Spring Boot,3.2,Global,The API loaded all historical orders and filtered them in application memory.,"Add database pagination, indexed customer_id/date fields, and limit default page size.",performance;pagination;orders,orders,postgresql,5 hr,Medium,p95 latency,unbounded query
JIRA-1014,Inventory Service,Bug,P2,Staging,Inventory,Inventory import job fails for CSV files containing quoted commas,2026-08-14,2026-08-14,Resolved,Python,3.12,NA,The parser split CSV lines on commas instead of using a standards-compliant CSV parser.,Use Python CSV parsing with quote handling and add malformed-file test cases.,csv;import;inventory,inventory,python-csv,3 hr,Medium,Import success rate,naive parsing
JIRA-1015,Notification Service,Bug,P2,Production,Notifications,SMS notifications are sent twice for some order events,2026-08-15,2026-08-15,Closed,Node.js,20,US,"Message consumer acknowledged events after sending, so retries could resend messages after transient failures.",Make message processing idempotent using event IDs and persist delivery status.,sms;duplicate;messaging,notifications,kafka,3 hr,Medium,Duplicate notification rate,non-idempotent consumer
JIRA-1016,Search Service,Bug,P2,Production,Search,Search results omit products added within the last five minutes,2026-08-16,2026-08-16,Resolved,Python,3.12,Global,Search index refresh interval was configured to 5 minutes.,Reduce refresh interval for the affected index and use event-driven refresh for priority catalog updates.,search;index;latency,search,elasticsearch,2 hr,Medium,Index freshness,refresh interval
JIRA-1017,API Gateway,Bug,P2,Production,Platform,Large file upload requests fail with HTTP 413,2026-08-17,2026-08-17,Closed,Nginx,1.26,Global,Gateway request body size limit was lower than the supported application upload size.,"Align gateway and application limits, document maximum upload size, and add contract tests.",upload;gateway;413,platform,nginx,1.5 hr,Medium,Upload failure rate,body size limit
JIRA-1018,Database,Bug,P2,Production,Database,Nightly report query causes database CPU spikes,2026-08-18,2026-08-18,Resolved,PostgreSQL,15,US,Report query performed sequential scans over several million rows.,"Add appropriate indexes, rewrite joins, and schedule heavy reports during lower traffic.",database;query;performance,database,postgresql,6 hr,Medium,Database CPU,missing index
JIRA-1019,Payment Service,Bug,P2,Production,Payments,Refund status remains pending after gateway confirms refund,2026-08-19,2026-08-19,Resolved,Java/Spring Boot,3.3,Global,Refund confirmation webhook was rejected because timestamp validation used local server time.,"Use UTC consistently, allow bounded clock skew, and synchronize hosts with NTP.",refund;webhook;time,payments,payment-gateway,2 hr,Medium,Refund completion time,clock skew
JIRA-1020,Customer Profile,Bug,P2,Production,Customer,Customer preferences revert after profile save,2026-08-20,2026-08-20,Closed,Java/Spring Boot,3.1,Global,A background profile synchronization job overwrote recently changed fields using stale source data.,Use field-level versioning and reject stale synchronization updates.,profile;sync;concurrency,customer,postgresql,4 hr,Medium,Preference rollback rate,stale update
JIRA-1021,Checkout Service,Bug,P3,QA,Payments,Promo code field accepts lowercase code but validation is case-sensitive,2026-08-21,2026-08-21,Resolved,Java/Spring Boot,3.3,NA,Promo validation compared codes without normalizing case.,Normalize promo codes before validation and add case-variation tests.,promo;validation;checkout,checkout,redis,2 hr,Low,Promo validation failures,case sensitivity
JIRA-1022,Authentication API,Bug,P3,QA,Identity,Login audit records are missing browser user-agent information,2026-08-22,2026-08-22,Closed,Python/FastAPI,3.12,Global,The middleware captured IP address but did not persist the User-Agent header.,Extend the audit schema and middleware to capture sanitized User-Agent values.,audit;login;observability,auth,postgresql,3 hr,Low,Audit completeness,missing field
JIRA-1023,Order Service,Bug,P3,Staging,Orders,Order export generates timestamps without timezone information,2026-08-23,2026-08-23,Resolved,Java/Spring Boot,3.2,Global,Export formatter serialized local datetime values without timezone offset.,Use ISO-8601 UTC timestamps and add export contract tests.,export;timezone;orders,orders,postgresql,2 hr,Low,Export validation errors,timezone omission
JIRA-1024,Inventory Service,Bug,P3,QA,Inventory,Inventory dashboard displays quantities rounded to whole numbers,2026-08-24,2026-08-24,Resolved,React,18,Global,Frontend formatting applied integer rounding to all inventory metrics.,Use metric-specific formatting rules and add UI tests for fractional quantities.,dashboard;formatting;inventory,inventory,browser,2 hr,Low,Dashboard accuracy,formatting rule
JIRA-1025,Notification Service,Bug,P3,Staging,Notifications,Email templates render broken links when deployed behind a path prefix,2026-08-25,2026-08-25,Closed,Node.js,20,Global,Template URLs were built using root-relative paths and ignored the deployment prefix.,Generate URLs from configured public base URL and add environment-specific template tests.,email;links;deployment,notifications,smtp,3 hr,Low,Broken-link rate,base URL configuration
JIRA-1026,Search Service,Bug,P3,QA,Search,Search autocomplete shows inactive products,2026-08-26,2026-08-26,Resolved,Python,3.11,US,Autocomplete index was not applying the product active-status filter.,Add active-status filtering to indexing and query logic.,autocomplete;search;catalog,search,elasticsearch,3 hr,Low,Inactive suggestion rate,missing filter
JIRA-1027,API Gateway,Bug,P3,Staging,Platform,Health endpoint returns HTTP 200 when downstream database is unavailable,2026-08-27,2026-08-27,Resolved,Nginx,1.27,Global,Liveness and readiness semantics were mixed and the health endpoint did not check dependencies.,Separate liveness and readiness endpoints and include dependency checks only in readiness.,health;gateway;monitoring,platform,kubernetes,2 hr,Low,False healthy rate,incorrect health check
JIRA-1028,Database,Task,P3,Development,Database,Add index for frequently filtered customer status field,2026-08-28,2026-08-28,Closed,PostgreSQL,16,Global,Query analysis showed repeated sequential scans on customer status.,Create a targeted index after validating selectivity and query plans.,index;database;optimization,database,postgresql,2 hr,Low,Query p95 latency,missing index
JIRA-1029,Payment Service,Bug,P3,QA,Payments,Payment decline reason is not shown to support agents,2026-08-29,2026-08-29,Resolved,Java/Spring Boot,3.4,Global,Gateway decline codes were mapped to a generic failure status.,Persist normalized decline reason categories and expose them to authorized support users.,payments;decline;support,payments,payment-gateway,4 hr,Low,Support resolution time,lossy error mapping
JIRA-1030,Customer Profile,Bug,P3,Staging,Customer,Profile API returns inconsistent field ordering in JSON snapshots,2026-08-30,2026-08-30,Closed,Python/FastAPI,3.12,Global,Snapshot tests relied on serialized object ordering.,Compare JSON structurally in tests and use explicit schemas for response contracts.,api;json;testing,customer,postgresql,1.5 hr,Low,Snapshot test failures,order-sensitive tests
JIRA-1031,Checkout Service,Improvement,P4,Development,Payments,Add structured logging for checkout validation failures,2026-08-31,2026-08-31,Resolved,Java/Spring Boot,3.3,Global,Validation failures were logged as unstructured messages without request correlation fields.,"Add structured fields for correlation ID, error code, cart ID, and validation category.",logging;checkout;observability,checkout,application,4 hr,Low,Log search time,insufficient context
JIRA-1032,Authentication API,Improvement,P4,Development,Identity,Add dashboard for token refresh failures,2026-08-31,2026-08-31,Closed,Python/FastAPI,3.12,Global,Token refresh failures were available in logs but had no aggregate dashboard.,"Create metrics by client, error category, and environment with alert thresholds.",metrics;auth;dashboard,auth,prometheus,5 hr,Low,Token refresh failure rate,missing metrics
JIRA-1033,Order Service,Improvement,P4,Development,Orders,Add correlation ID to order lifecycle events,2026-09-01,2026-09-01,Resolved,Java/Spring Boot,3.2,Global,Order events could not always be correlated across services.,Generate or propagate correlation IDs and include them in all lifecycle events.,correlation;events;orders,orders,kafka,3 hr,Low,Trace completeness,missing correlation ID
JIRA-1034,Inventory Service,Task,P4,Development,Inventory,Document inventory reservation state transitions,2026-09-01,2026-09-01,Closed,Go,1.23,Global,Reservation states were implemented but not documented centrally.,Create state-transition documentation with valid transitions and failure handling.,documentation;inventory;state-machine,inventory,internal-docs,3 hr,Low,Support investigation time,documentation gap
JIRA-1035,Notification Service,Improvement,P4,Development,Notifications,Add template preview endpoint for support users,2026-09-01,2026-09-01,Resolved,Node.js,22,Global,Support teams had to trigger test messages to validate templates.,Add a safe preview endpoint using sample payloads without sending messages.,templates;preview;notifications,notifications,application,5 hr,Low,Template verification time,missing preview
JIRA-1036,Search Service,Improvement,P4,Development,Search,Add synonym management for common product terms,2026-09-02,2026-09-02,Closed,Python,3.12,Global,Common synonyms were hard-coded in application configuration.,Move synonyms to managed configuration with validation and audit history.,search;synonyms;configuration,search,elasticsearch,6 hr,Low,Search relevance,hard-coded synonyms
JIRA-1037,API Gateway,Improvement,P4,Development,Platform,Add per-client request quota reporting,2026-09-02,2026-09-02,Resolved,Nginx,1.27,Global,Gateway metrics aggregated traffic without client-level quota visibility.,Export client quota metrics and create a usage dashboard.,api-gateway;quota;metrics,platform,prometheus,4 hr,Low,Quota visibility,missing aggregation
JIRA-1038,Database,Improvement,P4,Development,Database,Add slow-query alerting for production database,2026-09-02,2026-09-02,Closed,PostgreSQL,16,Global,Slow queries were discovered manually from database logs.,Export query duration metrics and alert on sustained threshold breaches.,database;monitoring;slow-query,database,prometheus,4 hr,Low,Mean time to detect,manual monitoring
JIRA-1039,Payment Service,Improvement,P4,Development,Payments,Add automated reconciliation report for gateway settlements,2026-09-03,2026-09-03,Resolved,Java/Spring Boot,3.4,Global,Finance reconciliation depended on manual spreadsheet comparison.,Build a scheduled reconciliation job comparing internal transactions with gateway settlement files.,reconciliation;payments;finance,payments,batch-job,8 hr,Low,Reconciliation effort,manual process
JIRA-1040,Customer Profile,Improvement,P4,Development,Customer,Add audit trail for customer preference changes,2026-09-03,2026-09-03,Closed,Java/Spring Boot,3.3,Global,Preference changes were stored without historical before/after values.,"Persist immutable audit events containing actor, timestamp, changed fields, and correlation ID.",audit;customer;compliance,customer,postgresql,5 hr,Low,Audit completeness,missing history
JIRA-1041,Checkout Service,Bug,P2,Production,Payments,Checkout occasionally hangs when promotion service is slow,2026-09-03,2026-09-03,Resolved,Java/Spring Boot,3.3,Global,Checkout waited indefinitely for promotion service response.,Add a timeout and fallback behavior so checkout can proceed without optional promotion enrichment.,timeout;dependency;checkout,checkout,promotion-service,2 hr,Medium,Checkout p95 latency,missing downstream timeout
JIRA-1042,Authentication API,Bug,P2,Production,Identity,MFA verification fails after user changes device time,2026-09-03,2026-09-03,Closed,Python/FastAPI,3.12,Global,Time-based OTP validation allowed almost no clock skew.,Allow a small documented clock-skew window and provide device-time guidance.,mfa;totp;time,auth,identity-provider,2 hr,Medium,MFA failure rate,clock skew
JIRA-1043,Order Service,Bug,P3,QA,Orders,Order cancellation button remains enabled after cancellation,2026-09-03,2026-09-03,Resolved,Java/Spring Boot,3.2,Global,Frontend state was not refreshed after the cancellation API response.,Update local order state from the API response and disable invalid actions by state.,orders;ui;state,orders,browser,2 hr,Low,Invalid action rate,stale UI state
JIRA-1044,Inventory Service,Bug,P2,Production,Inventory,Warehouse stock synchronization falls behind during batch imports,2026-09-03,2026-09-03,Resolved,Go,1.23,EU,Sync workers processed records serially and could not keep up with import volume.,"Batch database writes, increase controlled worker concurrency, and monitor processing lag.",inventory;batch;throughput,inventory,postgresql,5 hr,Medium,Sync lag,insufficient throughput
JIRA-1045,Notification Service,Bug,P3,QA,Notifications,Email unsubscribe preference is not reflected immediately,2026-09-03,2026-09-03,Closed,Node.js,22,Global,Notification workers cached preferences for 15 minutes.,Invalidate the cache on preference changes and shorten TTL for safety-sensitive preferences.,email;unsubscribe;cache,notifications,redis,3 hr,Medium,Unwanted email rate,stale cache
JIRA-1046,Search Service,Bug,P2,Production,Search,Search API latency increases sharply for wildcard queries,2026-09-03,2026-09-03,Resolved,Python,3.12,Global,Unrestricted wildcard queries caused expensive index scans.,"Restrict leading wildcards, enforce query complexity limits, and add optimized fields for supported patterns.",search;wildcard;performance,search,elasticsearch,4 hr,Medium,Search p95 latency,expensive query
JIRA-1047,API Gateway,Bug,P3,QA,Platform,CORS errors occur for the new admin web application,2026-09-03,2026-09-03,Resolved,Nginx,1.27,Global,The admin application origin was not included in the gateway allowlist.,Add the approved origin to configuration and validate CORS behavior in deployment tests.,cors;gateway;admin,platform,nginx,1.5 hr,Low,Admin API error rate,allowlist missing
JIRA-1048,Database,Incident,P2,Production,Database,Database backup job exceeded its expected completion window,2026-09-03,2026-09-03,Closed,PostgreSQL,16,US,Backup volume grew significantly and compression settings increased processing time.,"Tune backup compression, review retention, and alert when backup duration approaches the recovery objective.",backup;database;recovery,database,postgresql,4 hr,Medium,Backup duration,data growth
JIRA-1049,Payment Service,Bug,P3,Staging,Payments,Currency symbol is incorrect on refund confirmation,2026-09-03,2026-09-03,Resolved,Java/Spring Boot,3.4,CA,UI used browser locale instead of transaction currency.,Render currency from the transaction's ISO currency code and add multi-currency tests.,currency;refund;ui,payments,browser,2 hr,Low,Currency display defects,locale mismatch
JIRA-1050,Customer Profile,Bug,P4,Development,Customer,Add validation for maximum profile bio length,2026-09-04,2026-09-04,Resolved,Python/FastAPI,3.12,Global,"API accepted arbitrarily large bio values, creating inconsistent downstream behavior.","Define a maximum length in the API schema, return validation errors, and add boundary tests.",validation;profile;api,customer,postgresql,1.5 hr,Low,Validation error rate,missing constraint
